name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate
Syracuse Utah Temple,"Syracuse, Utah, United States",OPERATING,"June 8, 2025",4130690,syracuse-utah-temple,Syracuse, Utah, United States,"June 8, 2025"
Durban South Africa Temple,"Durban, South Africa",OPERATING,"February 16, 2020",4012419,durban-south-africa-temple,Durban,, South Africa,"February 16, 2020"
La Paz Bolivia Temple,Bolivia,ANNOUNCED,Announced,4142977,la-paz-bolivia-temple,,,,
Managua Nicaragua Temple,Nicaragua,CONSTRUCTION,Construction,4108672,managua-nicaragua-temple,,,,
Payson Utah Temple,"Payson, Utah, United States",OPERATING,"June 7, 2015",4007811,payson-utah-temple,Payson, Utah, United States,"June 7, 2015"
Savai'i Samoa Temple,Samoa,ANNOUNCED,Announced,4160385,savai'i-samoa-temple,,,,
Smithfield Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4138369,smithfield-utah-temple,Utah,, United States,
Cagayan de Oro Philippines Temple,Philippines,CONSTRUCTION,Construction,4108673,cagayan-de-oro-philippines-temple,,,,
Kinshasa Democratic Republic of the Congo Temple,"Kinshasa, Democratic Republic of the Congo",OPERATING,"April 14, 2019",4012418,kinshasa-democratic-republic-of-the-congo-temple,Kinshasa,, Democratic Republic of the Congo,"April 14, 2019"
Rexburg Idaho Temple,"Rexburg, Idaho, United States",OPERATING,"February 10, 2008",72126,rexburg-idaho-temple,Rexburg, Idaho, United States,"February 10, 2008"
Vitória Brazil Temple,Brazil,ANNOUNCED,Announced,4142976,vitoria-brazil-temple,,,,
Yorba Linda California Temple,"California, United States",CONSTRUCTION,Construction,4138368,yorba-linda-california-temple,California,, United States,
San Juan Puerto Rico Temple,"San Juan, Puerto Rico",OPERATING,"January 15, 2023",4114420,san-juan-puerto-rico-temple,San Juan,, Puerto Rico,"January 15, 2023"
Oaxaca Mexico Temple,"Oaxaca, Oaxaca, Mexico",OPERATING,"March 11, 2000",37835,oaxaca-mexico-temple,Oaxaca, Oaxaca, Mexico,"March 11, 2000"
Red Cliffs Utah Temple,"St. George, Utah, United States",OPERATING,"March 24, 2024",4114421,red-cliffs-utah-temple,St. George, Utah, United States,"March 24, 2024"
Lagos Nigeria Temple,Nigeria,CONSTRUCTION,Construction,4114418,lagos-nigeria-temple,,,,
Davao Philippines Temple,"Davao, Philippines",CONSTRUCTION,Construction,4114419,davao-philippines-temple,Davao,, Philippines,
Puebla Mexico Temple,"Puebla, Puebla, Mexico",OPERATING,"May 19, 2024",4114416,puebla-mexico-temple,Puebla, Puebla, Mexico,"May 19, 2024"
Auckland New Zealand Temple,"Auckland, New Zealand",OPERATING,"April 13, 2025",4114417,auckland-new-zealand-temple,Auckland,, New Zealand,"April 13, 2025"
Praia Cape Verde Temple,"Praia, Cape Verde",OPERATING,"June 19, 2022",4114414,praia-cape-verde-temple,Praia,, Cape Verde,"June 19, 2022"
Ephraim Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4138990,ephraim-utah-temple,Utah,, United States,
Yigo Guam Temple,"Yigo, Guam",OPERATING,"May 22, 2022",4114415,yigo-guam-temple,Yigo,, Guam,"May 22, 2022"
Feather River California Temple,"Yuba City, California, United States",OPERATING,"October 8, 2023",4114412,feather-river-california-temple,Yuba City, California, United States,"October 8, 2023"
Phnom Penh Cambodia Temple,"Phnom Penh, Cambodia",CONSTRUCTION,Construction,4114413,phnom-penh-cambodia-temple,Phnom Penh,, Cambodia,
Mendoza Argentina Temple,"Mendoza, Argentina",OPERATING,"September 22, 2024",4114410,mendoza-argentina-temple,Mendoza,, Argentina,"September 22, 2024"
Salvador Brazil Temple,"Salvador, Bahia, Brazil",OPERATING,"October 20, 2024",4114411,salvador-brazil-temple,Salvador, Bahia, Brazil,"October 20, 2024"
Tula Mexico Temple,Mexico,ANNOUNCED,Announced,4153320,tula-mexico-temple,,,,
Toluca Mexico Temple,Mexico,ANNOUNCED,Announced,4153319,toluca-mexico-temple,,,,
Pachuca Mexico Temple,Mexico,ANNOUNCED,Announced,4153318,pachuca-mexico-temple,,,,
Cuernavaca Mexico Temple,Mexico,ANNOUNCED,Announced,4153317,cuernavaca-mexico-temple,,,,
Tacoma Washington Temple,"Washington, United States",ANNOUNCED,Announced,4153316,tacoma-washington-temple,Washington,, United States,
Lone Mountain Nevada Temple,"Nevada, United States",CONSTRUCTION,Construction,4153315,lone-mountain-nevada-temple,Nevada,, United States,
Fairview Texas Temple,"Texas, United States",ANNOUNCED,Announced,4153314,fairview-texas-temple,Texas,, United States,
Grand Rapids Michigan Temple,"Michigan, United States",CONSTRUCTION,Construction,4153313,grand-rapids-michigan-temple,Michigan,, United States,
Jacksonville Florida Temple,"Florida, United States",ANNOUNCED,Announced,4153312,jacksonville-florida-temple,Florida,, United States,
Huehuetenango Guatemala Temple,Guatemala,ANNOUNCED,Announced,4153311,huehuetenango-guatemala-temple,,,,
Ribeirão Prêto Brazil Temple,Brazil,CONSTRUCTION,Construction,4153310,ribeirao-preto-brazil-temple,,,,
Londrina Brazil Temple,Brazil,CONSTRUCTION,Construction,4153309,londrina-brazil-temple,,,,
Buenos Aires City Center Argentina Temple,Argentina,ANNOUNCED,Announced,4153308,buenos-aires-city-center-argentina-temple,,,,
Chiclayo Peru Temple,Peru,ANNOUNCED,Announced,4153307,chiclayo-peru-temple,,,,
Eket Nigeria Temple,Nigeria,ANNOUNCED,Announced,4153306,eket-nigeria-temple,,,,
Santiago Philippines Temple,Philippines,ANNOUNCED,Announced,4153305,santiago-philippines-temple,,,,
Naga Philippines Temple,Philippines,ANNOUNCED,Announced,4153304,naga-philippines-temple,,,,
Busan Korea Temple,South Korea,ANNOUNCED,Announced,4153303,busan-korea-temple,,,,
Louisville Kentucky Temple,"Crestwood, Kentucky, United States",OPERATING,"March 19, 2000",38376,louisville-kentucky-temple,Crestwood, Kentucky, United States,"March 19, 2000"
Medford Oregon Temple,"Central Point, Oregon, United States",OPERATING,"April 16, 2000",38377,medford-oregon-temple,Central Point, Oregon, United States,"April 16, 2000"
Fresno California Temple,"Fresno, California, United States",OPERATING,"April 9, 2000",37354,fresno-california-temple,Fresno, California, United States,"April 9, 2000"
Oklahoma City Oklahoma Temple,"Yukon, Oklahoma, United States",OPERATING,"July 30, 2000",38378,oklahoma-city-oklahoma-temple,Yukon, Oklahoma, United States,"July 30, 2000"
Copenhagen Denmark Temple,"Frederiksberg, Hovedstaden, Denmark",OPERATING,"May 23, 2004",38397,copenhagen-denmark-temple,Frederiksberg, Hovedstaden, Denmark,"May 23, 2004"
San José Costa Rica Temple,"Belén, Heredia, Costa Rica",OPERATING,"June 4, 2000",38398,san-jose-costa-rica-temple,Belén, Heredia, Costa Rica,"June 4, 2000"
